graphrag-fastapi  | 2026-08-24 02:07:44,193 - neo4j.io - DEBUG - [#9D48]  S: SUCCESS {'db': 'neo4j'}
graphrag-fastapi  | 2026-08-24 02:07:44,218 - neo4j.notifications - INFO - Received notification from DBMS server: <GqlStatusObject gql_status='03N90', status_description="info: cartesian product. The disconnected pattern '(e:Entity {id: $entity_id}), (c:Chunk {id: $chunk_id})' builds a cartesian product. A cartesian product may produce a large amount of data and slow down query processing.", position=<SummaryInputPosition line=2, column=17, offset=17>, raw_classification='PERFORMANCE', classification=<NotificationClassification.PERFORMANCE: 'PERFORMANCE'>, raw_severity='INFORMATION', severity=<NotificationSeverity.INFORMATION: 'INFORMATION'>, diagnostic_record={'_classification': 'PERFORMANCE', '_severity': 'INFORMATION', '_position': {'offset': 17, 'line': 2, 'column': 17}, 'OPERATION': '', 'OPERATION_CODE': '0', 'CURRENT_SCHEMA': '/'}> for query: '\n                MATCH (e:Entity {id: $entity_id}), (c:Chunk {id: $chunk_id})\n                MERGE (e)-[r:MENTIONED_IN]->(c)\n                ON CREATE SET r.chunk_count = 1\n                ON MATCH SET r.chunk_count = r.chunk_count + 1\n                RETURN r\n                '
graphrag-fastapi  | 2026-08-24 02:07:44,218 - neo4j.io - DEBUG - [#9D48]  C: COMMIT
graphrag-fastapi  | 2026-08-24 02:07:44,218 - neo4j.io - DEBUG - [#9D48]  _: <CONNECTION> client state: TX_READY_OR_TX_STREAMING > READY
graphrag-fastapi  | 2026-08-24 02:07:44,225 - neo4j.io - DEBUG - [#9D48]  S: SUCCESS {'bookmark': 'FB:kcwQiwgsDfVyQueUVUGaJNSbh8kGAJA='}
graphrag-fastapi  | 2026-08-24 02:07:44,225 - neo4j.io - DEBUG - [#9D48]  _: <CONNECTION> server state: TX_READY_OR_TX_STREAMING > READY
graphrag-fastapi  | 2026-08-24 02:07:44,226 - neo4j.pool - DEBUG - [#9D48]  _: <POOL> released bolt-2
graphrag-fastapi  | 2026-08-24 02:07:44,226 - stages.graph_indexing.neo4j_client - INFO - Batch executed: 1 queries
graphrag-fastapi  | 2026-08-24 02:07:44,226 - neo4j - DEBUG - [#0000]  _: <WORKSPACE> routing towards fixed database: None
graphrag-fastapi  | 2026-08-24 02:07:44,226 - neo4j - DEBUG - [#0000]  _: <WORKSPACE> pinning database: None
graphrag-fastapi  | 2026-08-24 02:07:44,226 - neo4j.pool - DEBUG - [#0000]  _: <POOL> acquire direct connection, access_mode='WRITE', database=AcquisitionDatabase(name=None, guessed=False)
graphrag-fastapi  | 2026-08-24 02:07:44,226 - neo4j.pool - DEBUG - [#9D48]  _: <POOL> picked existing connection bolt-2
graphrag-fastapi  | 2026-08-24 02:07:44,226 - neo4j.pool - DEBUG - [#9D48]  _: <POOL> checked re_auth auth=None updated=False force=False
graphrag-fastapi  | 2026-08-24 02:07:44,226 - neo4j.pool - DEBUG - [#9D48]  _: <POOL> handing out existing connection
graphrag-fastapi  | 2026-08-24 02:07:44,226 - neo4j.io - DEBUG - [#9D48]  C: BEGIN {}
graphrag-fastapi  | 2026-08-24 02:07:44,226 - neo4j.io - DEBUG - [#9D48]  _: <CONNECTION> client state: READY > TX_READY_OR_TX_STREAMING
graphrag-fastapi  | 2026-08-24 02:07:44,227 - neo4j.io - DEBUG - [#9D48]  S: SUCCESS {'db': 'neo4j'}
graphrag-fastapi  | 2026-08-24 02:07:44,227 - neo4j.io - DEBUG - [#9D48]  _: <CONNECTION> server state: READY > TX_READY_OR_TX_STREAMING
graphrag-fastapi  | 2026-08-24 02:07:44,228 - neo4j.io - DEBUG - [#9D48]  C: RUN '\n                MATCH (e:Entity {id: $entity_id}), (c:Chunk {id: $chunk_id})\n                MERGE (e)-[r:MENTIONED_IN]->(c)\n                ON CREATE SET r.chunk_count = 1\n                ON MATCH SET r.chunk_count = r.chunk_count + 1\n                RETURN r\n                ' {'entity_id': 'product:blockchain technology', 'chunk_id': 'doc_4aa855901188fa80:0'} {}
graphrag-fastapi  | 2026-08-24 02:07:44,228 - neo4j.io - DEBUG - [#9D48]  C: PULL {'n': 1000}
graphrag-fastapi  | 2026-08-24 02:07:44,230 - neo4j.io - DEBUG - [#9D48]  S: SUCCESS {'t_first': 2, 'fields': ['r'], 'qid': 0}
graphrag-fastapi  | 2026-08-24 02:07:44,233 - neo4j.io - DEBUG - [#9D48]  S: RECORD * 1
graphrag-fastapi  | 2026-08-24 02:07:44,233 - neo4j.io - DEBUG - [#9D48]  S: SUCCESS {'stats': {'contains-updates': True, 'properties-set': 1}, 'statuses': [{'gql_status': '00000', 'status_description': 'note: successful completion'}, {'gql_status': '03N90', 'neo4j_code': 'Neo.ClientNotification.Statement.CartesianProduct', 'status_description': "info: cartesian product. The disconnected pattern '(e:Entity {id: $entity_id}), (c:Chunk {id: $chunk_id})' builds a cartesian product. A cartesian product may produce a large amount of data and slow down query processing.", 'diagnostic_record': {'_classification': 'PERFORMANCE', '_severity': 'INFORMATION', '_position': {'offset': 17, 'line': 2, 'column': 17}}, 'description': 'If a part of a query contains multiple disconnected patterns, this will build a cartesian product between all those parts. This may produce a large amount of data and slow down query processing. While occasionally intended, it may often be possible to reformulate the query that avoids the use of this cross product, perhaps by adding a relationship between the different parts or by using OPTIONAL MATCH (identifier is: (c))', 'title': 'This query builds a cartesian product between disconnected patterns.'}], 'type': 'rw', 't_last': 2, 'db': 'neo4j'}
graphrag-fastapi  | 2026-08-24 02:07:44,233 - neo4j.notifications - INFO - Received notification from DBMS server: <GqlStatusObject gql_status='03N90', status_description="info: cartesian product. The disconnected pattern '(e:Entity {id: $entity_id}), (c:Chunk {id: $chunk_id})' builds a cartesian product. A cartesian product may produce a large amount of data and slow down query processing.", position=<SummaryInputPosition line=2, column=17, offset=17>, raw_classification='PERFORMANCE', classification=<NotificationClassification.PERFORMANCE: 'PERFORMANCE'>, raw_severity='INFORMATION', severity=<NotificationSeverity.INFORMATION: 'INFORMATION'>, diagnostic_record={'_classification': 'PERFORMANCE', '_severity': 'INFORMATION', '_position': {'offset': 17, 'line': 2, 'column': 17}, 'OPERATION': '', 'OPERATION_CODE': '0', 'CURRENT_SCHEMA': '/'}> for query: '\n                MATCH (e:Entity {id: $entity_id}), (c:Chunk {id: $chunk_id})\n                MERGE (e)-[r:MENTIONED_IN]->(c)\n                ON CREATE SET r.chunk_count = 1\n                ON MATCH SET r.chunk_count = r.chunk_count + 1\n                RETURN r\n                '
graphrag-fastapi  | 2026-08-24 02:07:44,234 - neo4j.io - DEBUG - [#9D48]  C: COMMIT
graphrag-fastapi  | 2026-08-24 02:07:44,234 - neo4j.io - DEBUG - [#9D48]  _: <CONNECTION> client state: TX_READY_OR_TX_STREAMING > READY
graphrag-fastapi  | 2026-08-24 02:07:44,236 - neo4j.io - DEBUG - [#9D48]  S: SUCCESS {'bookmark': 'FB:kcwQiwgsDfVyQueUVUGaJNSbh8kGAZA='}
graphrag-fastapi  | 2026-08-24 02:07:44,236 - neo4j.io - DEBUG - [#9D48]  _: <CONNECTION> server state: TX_READY_OR_TX_STREAMING > READY
graphrag-fastapi  | 2026-08-24 02:07:44,237 - neo4j.pool - DEBUG - [#9D48]  _: <POOL> released bolt-2
graphrag-fastapi  | 2026-08-24 02:07:44,237 - stages.graph_indexing.neo4j_client - INFO - Batch executed: 1 queries
graphrag-fastapi  | 2026-08-24 02:07:44,237 - stages.graph_indexing.graph_writer - INFO - Mention relations written: 5 created, 0 updated (5 entities with chunks, 5 total relations)
graphrag-fastapi  | 2026-08-24 02:07:44,237 - neo4j - DEBUG - [#0000]  _: <WORKSPACE> routing towards fixed database: None
graphrag-fastapi  | 2026-08-24 02:07:44,237 - neo4j - DEBUG - [#0000]  _: <WORKSPACE> pinning database: None
graphrag-fastapi  | 2026-08-24 02:07:44,237 - neo4j.pool - DEBUG - [#0000]  _: <POOL> acquire direct connection, access_mode='WRITE', database=AcquisitionDatabase(name=None, guessed=False)
graphrag-fastapi  | 2026-08-24 02:07:44,237 - neo4j.pool - DEBUG - [#9D48]  _: <POOL> picked existing connection bolt-2
graphrag-fastapi  | 2026-08-24 02:07:44,237 - neo4j.pool - DEBUG - [#9D48]  _: <POOL> checked re_auth auth=None updated=False force=False
graphrag-fastapi  | 2026-08-24 02:07:44,237 - neo4j.pool - DEBUG - [#9D48]  _: <POOL> handing out existing connection
graphrag-fastapi  | 2026-08-24 02:07:44,237 - neo4j.io - DEBUG - [#9D48]  C: RUN '\n            MATCH (c:Chunk {id: $chunk_id}), (d:Document {id: $document_id})\n            MERGE (c)-[:FROM]->(d)\n            RETURN 1\n            ' {'chunk_id': 'doc_4aa855901188fa80:0', 'document_id': 'doc_4aa855901188fa80'} {}
graphrag-fastapi  | 2026-08-24 02:07:44,237 - neo4j.io - DEBUG - [#9D48]  _: <CONNECTION> client state: READY > STREAMING
graphrag-fastapi  | 2026-08-24 02:07:44,237 - neo4j.io - DEBUG - [#9D48]  C: PULL {'n': 1000}
graphrag-fastapi  | 2026-08-24 02:07:44,330 - neo4j.io - DEBUG - [#9D48]  S: SUCCESS {'t_first': 91, 'fields': ['1'], 'db': 'neo4j'}
graphrag-fastapi  | 2026-08-24 02:07:44,330 - neo4j.io - DEBUG - [#9D48]  _: <CONNECTION> server state: READY > STREAMING
graphrag-fastapi  | 2026-08-24 02:07:44,333 - neo4j.io - DEBUG - [#9D48]  S: RECORD * 1
graphrag-fastapi  | 2026-08-24 02:07:44,333 - neo4j.io - DEBUG - [#9D48]  S: SUCCESS {'bookmark': 'FB:kcwQiwgsDfVyQueUVUGaJNSbh8kGAZA=', 'statuses': [{'gql_status': '00000', 'status_description': 'note: successful completion'}, {'gql_status': '03N90', 'neo4j_code': 'Neo.ClientNotification.Statement.CartesianProduct', 'status_description': "info: cartesian product. The disconnected pattern '(c:Chunk {id: $chunk_id}), (d:Document {id: $document_id})' builds a cartesian product. A cartesian product may produce a large amount of data and slow down query processing.", 'diagnostic_record': {'_classification': 'PERFORMANCE', '_severity': 'INFORMATION', '_position': {'offset': 13, 'line': 2, 'column': 13}}, 'description': 'If a part of a query contains multiple disconnected patterns, this will build a cartesian product between all those parts. This may produce a large amount of data and slow down query processing. While occasionally intended, it may often be possible to reformulate the query that avoids the use of this cross product, perhaps by adding a relationship between the different parts or by using OPTIONAL MATCH (identifier is: (d))', 'title': 'This query builds a cartesian product between disconnected patterns.'}], 'type': 'rw', 't_last': 1, 'db': 'neo4j'}
graphrag-fastapi  | 2026-08-24 02:07:44,333 - neo4j.io - DEBUG - [#9D48]  _: <CONNECTION> server state: STREAMING > READY
graphrag-fastapi  | 2026-08-24 02:07:44,333 - neo4j.pool - DEBUG - [#9D48]  _: <POOL> released bolt-2
graphrag-fastapi  | 2026-08-24 02:07:44,333 - neo4j.notifications - INFO - Received notification from DBMS server: <GqlStatusObject gql_status='03N90', status_description="info: cartesian product. The disconnected pattern '(c:Chunk {id: $chunk_id}), (d:Document {id: $document_id})' builds a cartesian product. A cartesian product may produce a large amount of data and slow down query processing.", position=<SummaryInputPosition line=2, column=13, offset=13>, raw_classification='PERFORMANCE', classification=<NotificationClassification.PERFORMANCE: 'PERFORMANCE'>, raw_severity='INFORMATION', severity=<NotificationSeverity.INFORMATION: 'INFORMATION'>, diagnostic_record={'_classification': 'PERFORMANCE', '_severity': 'INFORMATION', '_position': {'offset': 13, 'line': 2, 'column': 13}, 'OPERATION': '', 'OPERATION_CODE': '0', 'CURRENT_SCHEMA': '/'}> for query: '\n            MATCH (c:Chunk {id: $chunk_id}), (d:Document {id: $document_id})\n            MERGE (c)-[:FROM]->(d)\n            RETURN 1\n            '
graphrag-fastapi  | 2026-08-24 02:07:44,334 - stages.graph_indexing.graph_writer - INFO - From relations written: 1
graphrag-fastapi  | 2026-08-24 02:07:44,334 - neo4j - DEBUG - [#0000]  _: <WORKSPACE> routing towards fixed database: None
graphrag-fastapi  | 2026-08-24 02:07:44,334 - neo4j - DEBUG - [#0000]  _: <WORKSPACE> pinning database: None
graphrag-fastapi  | 2026-08-24 02:07:44,334 - neo4j.pool - DEBUG - [#0000]  _: <POOL> acquire direct connection, access_mode='WRITE', database=AcquisitionDatabase(name=None, guessed=False)
graphrag-fastapi  | 2026-08-24 02:07:44,334 - neo4j.pool - DEBUG - [#9D48]  _: <POOL> picked existing connection bolt-2
graphrag-fastapi  | 2026-08-24 02:07:44,334 - neo4j.pool - DEBUG - [#9D48]  _: <POOL> checked re_auth auth=None updated=False force=False
graphrag-fastapi  | 2026-08-24 02:07:44,334 - neo4j.pool - DEBUG - [#9D48]  _: <POOL> handing out existing connection
graphrag-fastapi  | 2026-08-24 02:07:44,334 - neo4j.io - DEBUG - [#9D48]  C: BEGIN {}
graphrag-fastapi  | 2026-08-24 02:07:44,334 - neo4j.io - DEBUG - [#9D48]  _: <CONNECTION> client state: STREAMING > TX_READY_OR_TX_STREAMING
graphrag-fastapi  | 2026-08-24 02:07:44,335 - neo4j.io - DEBUG - [#9D48]  S: SUCCESS {'db': 'neo4j'}
graphrag-fastapi  | 2026-08-24 02:07:44,335 - neo4j.io - DEBUG - [#9D48]  _: <CONNECTION> server state: READY > TX_READY_OR_TX_STREAMING
graphrag-fastapi  | 2026-08-24 02:07:44,336 - neo4j.io - DEBUG - [#9D48]  C: RUN '\n                MATCH (src:Entity {id: $source_id}), (tgt:Entity {id: $target_id})\n                MERGE (src)-[r:WORKS_AT]->(tgt)\n                ON CREATE SET\n                    r.description = $description,\n                    r.evidence = $evidence,\n                    r.supporting_chunks = $supporting_chunks,\n                    r.relation_count = $relation_count,\n                    r.confidence = $confidence,\n                    r.created = $created,\n                    r.updated = $updated\n                ON MATCH SET\n                    r.evidence = r.evidence + (\n                        [e IN $evidence WHERE NOT e IN r.evidence | e]\n                    ),\n                    r.supporting_chunks = r.supporting_chunks + (\n                        [c IN $supporting_chunks WHERE NOT c IN r.supporting_chunks | c]\n                    ),\n                    r.relation_count = r.relation_count + 1,\n                    r.confidence = $confidence,\n                    r.updated = $updated\n                RETURN r\n                ' {'source_id': 'person:john smith', 'target_id': 'organization:techcorp', 'description': '', 'evidence': ['John Smith works at TechCorp as a software architect.'], 'supporting_chunks': ['doc_4aa855901188fa80:0'], 'relation_count': 1, 'confidence': 0.5, 'created': '2026-08-24T02:07:35.181915', 'updated': '2026-08-24T02:07:35.181916'} {}
graphrag-fastapi  | 2026-08-24 02:07:44,336 - neo4j.io - DEBUG - [#9D48]  C: PULL {'n': 1000}
graphrag-fastapi  | 2026-08-24 02:07:44,490 - neo4j.io - DEBUG - [#9D48]  S: SUCCESS {'t_first': 152, 'fields': ['r'], 'qid': 0}
graphrag-fastapi  | 2026-08-24 02:07:44,495 - neo4j.io - DEBUG - [#9D48]  S: RECORD * 1
graphrag-fastapi  | 2026-08-24 02:07:44,495 - neo4j.io - DEBUG - [#9D48]  S: SUCCESS {'stats': {'contains-updates': True, 'properties-set': 5}, 'statuses': [{'gql_status': '00000', 'status_description': 'note: successful completion'}, {'gql_status': '03N90', 'neo4j_code': 'Neo.ClientNotification.Statement.CartesianProduct', 'status_description': "info: cartesian product. The disconnected pattern '(src:Entity {id: $source_id}), (tgt:Entity {id: $target_id})' builds a cartesian product. A cartesian product may produce a large amount of data and slow down query processing.", 'diagnostic_record': {'_classification': 'PERFORMANCE', '_severity': 'INFORMATION', '_position': {'offset': 17, 'line': 2, 'column': 17}}, 'description': 'If a part of a query contains multiple disconnected patterns, this will build a cartesian product between all those parts. This may produce a large amount of data and slow down query processing. While occasionally intended, it may often be possible to reformulate the query that avoids the use of this cross product, perhaps by adding a relationship between the different parts or by using OPTIONAL MATCH (identifier is: (tgt))', 'title': 'This query builds a cartesian product between disconnected patterns.'}], 'type': 'rw', 't_last': 4, 'db': 'neo4j'}
graphrag-fastapi  | 2026-08-24 02:07:44,496 - neo4j.notifications - INFO - Received notification from DBMS server: <GqlStatusObject gql_status='03N90', status_description="info: cartesian product. The disconnected pattern '(src:Entity {id: $source_id}), (tgt:Entity {id: $target_id})' builds a cartesian product. A cartesian product may produce a large amount of data and slow down query processing.", position=<SummaryInputPosition line=2, column=17, offset=17>, raw_classification='PERFORMANCE', classification=<NotificationClassification.PERFORMANCE: 'PERFORMANCE'>, raw_severity='INFORMATION', severity=<NotificationSeverity.INFORMATION: 'INFORMATION'>, diagnostic_record={'_classification': 'PERFORMANCE', '_severity': 'INFORMATION', '_position': {'offset': 17, 'line': 2, 'column': 17}, 'OPERATION': '', 'OPERATION_CODE': '0', 'CURRENT_SCHEMA': '/'}> for query: '\n                MATCH (src:Entity {id: $source_id}), (tgt:Entity {id: $target_id})\n                MERGE (src)-[r:WORKS_AT]->(tgt)\n                ON CREATE SET\n                    r.description = $description,\n                    r.evidence = $evidence,\n                    r.supporting_chunks = $supporting_chunks,\n                    r.relation_count = $relation_count,\n                    r.confidence = $confidence,\n                    r.created = $created,\n                    r.updated = $updated\n                ON MATCH SET\n                    r.evidence = r.evidence + (\n                        [e IN $evidence WHERE NOT e IN r.evidence | e]\n                    ),\n                    r.supporting_chunks = r.supporting_chunks + (\n                        [c IN $supporting_chunks WHERE NOT c IN r.supporting_chunks | c]\n                    ),\n                    r.relation_count = r.relation_count + 1,\n                    r.confidence = $confidence,\n                    r.updated = $updated\n                RETURN r\n                '
graphrag-fastapi  | 2026-08-24 02:07:44,496 - neo4j.io - DEBUG - [#9D48]  C: RUN '\n                MATCH (src:Entity {id: $source_id}), (tgt:Entity {id: $target_id})\n                MERGE (src)-[r:CREATED]->(tgt)\n                ON CREATE SET\n                    r.description = $description,\n                    r.evidence = $evidence,\n                    r.supporting_chunks = $supporting_chunks,\n                    r.relation_count = $relation_count,\n                    r.confidence = $confidence,\n                    r.created = $created,\n                    r.updated = $updated\n                ON MATCH SET\n                    r.evidence = r.evidence + (\n                        [e IN $evidence WHERE NOT e IN r.evidence | e]\n                    ),\n                    r.supporting_chunks = r.supporting_chunks + (\n                        [c IN $supporting_chunks WHERE NOT c IN r.supporting_chunks | c]\n                    ),\n                    r.relation_count = r.relation_count + 1,\n                    r.confidence = $confidence,\n                    r.updated = $updated\n                RETURN r\n                ' {'source_id': 'organization:techcorp', 'target_id': 'product:distributed system for processing financial transactions', 'description': '', 'evidence': ['The company created a distributed system for processing financial transactions.'], 'supporting_chunks': ['doc_4aa855901188fa80:0'], 'relation_count': 1, 'confidence': 0.5, 'created': '2026-08-24T02:07:35.181922', 'updated': '2026-08-24T02:07:35.181923'} {}
graphrag-fastapi  | 2026-08-24 02:07:44,496 - neo4j.io - DEBUG - [#9D48]  C: PULL {'n': 1000}
graphrag-fastapi  | 2026-08-24 02:07:44,633 - neo4j.io - DEBUG - [#9D48]  S: SUCCESS {'t_first': 135, 'fields': ['r'], 'qid': 1}
graphrag-fastapi  | 2026-08-24 02:07:44,637 - neo4j.io - DEBUG - [#9D48]  S: RECORD * 1
graphrag-fastapi  | 2026-08-24 02:07:44,637 - neo4j.io - DEBUG - [#9D48]  S: SUCCESS {'stats': {'contains-updates': True, 'relationships-created': 1, 'properties-set': 7}, 'statuses': [{'gql_status': '00000', 'status_description': 'note: successful completion'}, {'gql_status': '03N90', 'neo4j_code': 'Neo.ClientNotification.Statement.CartesianProduct', 'status_description': "info: cartesian product. The disconnected pattern '(src:Entity {id: $source_id}), (tgt:Entity {id: $target_id})' builds a cartesian product. A cartesian product may produce a large amount of data and slow down query processing.", 'diagnostic_record': {'_classification': 'PERFORMANCE', '_severity': 'INFORMATION', '_position': {'offset': 17, 'line': 2, 'column': 17}}, 'description': 'If a part of a query contains multiple disconnected patterns, this will build a cartesian product between all those parts. This may produce a large amount of data and slow down query processing. While occasionally intended, it may often be possible to reformulate the query that avoids the use of this cross product, perhaps by adding a relationship between the different parts or by using OPTIONAL MATCH (identifier is: (tgt))', 'title': 'This query builds a cartesian product between disconnected patterns.'}], 'type': 'rw', 't_last': 3, 'db': 'neo4j'}
